,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,13.186786651611328
1,7,16,0.01,12.959891319274902
2,7,32,0.008,13.267131805419922
3,7,32,0.01,13.335712432861328
4,7,64,0.008,12.981049537658691
5,7,64,0.01,13.185351371765137
6,8,16,0.008,13.083049774169922
7,8,16,0.01,13.506857872009277
8,8,32,0.008,13.197153091430664
9,8,32,0.01,13.115141868591309
10,8,64,0.008,13.101906776428223
11,8,64,0.01,13.14212417602539
12,9,16,0.008,13.017398834228516
13,9,16,0.01,13.030579566955566
14,9,32,0.008,13.251368522644043
15,9,32,0.01,13.297409057617188
16,9,64,0.008,13.191498756408691
17,9,64,0.01,13.110036849975586
